record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.YIOSBAPIYDEG.S21,1.B.1.1.Finansal Olmayan Kuruluşlar (S.11) (Banka İhraçları),TP.YIOSBAPIYDEG.S21,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S21,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S22,1.B.1.2.Finansal Kuruluşlar (S.12) (Banka İhraçları),TP.YIOSBAPIYDEG.S22,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S22 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S22,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S24,1.B.1.2.2.Bankalar (S.122) (Banka İhraçları),TP.YIOSBAPIYDEG.S24,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S24,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S3,1.A.1.2.Finansal Kuruluşlar (S.12) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S3,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S3,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S30,1.B.1.3.Genel Yönetim (S.13) (Banka İhraçları),TP.YIOSBAPIYDEG.S30,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S30 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S30,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S34,1.B.1.4.Hanehalkı (S.14) (Banka İhraçları),TP.YIOSBAPIYDEG.S34,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S34 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S34,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S40,1.C.1.1.Finansal Olmayan Kuruluşlar (S.11) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S40,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S40 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S40,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S41,1.C.1.2.Finansal Kuruluşlar (S.12) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S41,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S41 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S41,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S43,1.C.1.2.2.Bankalar (S.122) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S43,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S43 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S43,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S49,1.C.1.3.Genel Yönetim (S.13) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S49,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S49 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S49,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S5,1.A.1.2.2.Bankalar (S.122) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S5,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S5,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S53,1.C.1.4.Hanehalkı (S.14) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S53,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S53 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S53,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S54,1.C.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15) (Diğer Finansal Aracı İhraçları),TP.YIOSBAPIYDEG.S54,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S54 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S54,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S59,1.D.1.1.Finansal Olmayan Kuruluşlar (S.11) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S59,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S59 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S59,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S60,1.D.1.2.Finansal Kuruluşlar (S.12) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S60,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S60 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S60,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S62,1.D.1.2.2.Bankalar (S.122) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S62,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S62 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S62,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S68,1.D.1.3.Genel Yönetim (S.13) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S68,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S68 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S68,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S72,1.D.1.4.Hanehalkı (S.14) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S72,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S72 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S72,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S74,1.D.2.Dünyanın Geri Kalanı (S.2) (Finansal Yardımcı İhraçları),TP.YIOSBAPIYDEG.S74,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S74 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S74,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
